Type	Shape	Chr	Start	End	color
Friends	circle	18	39905545	39905664	1f78b4
Friends	circle	18	44255855	44255969	1f78b4
Friends	circle	18	45726633	45726757	1f78b4
Friends	circle	19	11999727	11999836	1f78b4
Friends	circle	19	21087773	21087882	1f78b4
Friends	circle	19	37426710	37426823	1f78b4
Friends	circle	20	5027001	5027122	1f78b4
Friends	circle	20	5274651	5274806	1f78b4
Friends	circle	20	21067596	21067715	1f78b4
Friends	circle	20	21413200	21413312	1f78b4
Friends	circle	20	30102051	30102169	1f78b4
Friends	circle	20	33246769	33246887	1f78b4
Friends	circle	20	38916172	38916283	1f78b4
Friends	circle	20	43621810	43621929	1f78b4
Friends	circle	21	14365062	14365178	1f78b4
Friends	circle	21	25496391	25496500	1f78b4
Friends	circle	21	37146080	37146198	1f78b4
Friends	circle	22	20476725	20476845	1f78b4
Friends	circle	22	30031389	30031498	1f78b4
Friends	circle	23	28910889	28911008	1f78b4
Friends	circle	23	41036994	41037113	1f78b4
Friends	circle	23	48305456	48305574	1f78b4
Friends	circle	23	53952212	53952320	1f78b4
Friends	circle	23	68809047	68809166	1f78b4
Friends	circle	23	69389616	69389737	1f78b4
Friends	circle	23	76203520	76203639	1f78b4
Friends	circle	23	94723721	94723830	1f78b4
Friends	circle	24	18179137	18179250	1f78b4
Game of Thrones	triangle	1	16719666	16719740	984ea3
Game of Thrones	triangle	1	16731479	16731553	984ea3
Game of Thrones	triangle	1	16734360	16734432	984ea3
Game of Thrones	triangle	1	16745020	16745091	984ea3
Game of Thrones	triangle	1	16877352	16877423	984ea3
Game of Thrones	triangle	1	16926366	16926437	984ea3
Game of Thrones	triangle	1	17061002	17061073	984ea3
Game of Thrones	triangle	1	17071664	17071736	984ea3
Game of Thrones	triangle	1	17074544	17074618	984ea3
Game of Thrones	triangle	1	17088758	17088832	984ea3
Game of Thrones	triangle	5	26234295	26234368	984ea3
Game of Thrones	triangle	6	26394732	26394804	984ea3
Game of Thrones	triangle	6	26394732	26394804	984ea3
Game of Thrones	triangle	6	26407883	26407955	984ea3
Game of Thrones	triangle	6	26407883	26407956	984ea3
Game of Thrones	triangle	6	26419402	26419474	984ea3
Game of Thrones	triangle	6	26419402	26419474	984ea3
Game of Thrones	triangle	6	26419953	26420025	984ea3
Game of Thrones	triangle	6	26419953	26420025	984ea3
Game of Thrones	triangle	6	26420802	26420884	984ea3
Game of Thrones	triangle	6	26421330	26421402	984ea3
Game of Thrones	triangle	6	26421330	26421402	984ea3
Game of Thrones	triangle	6	26427308	26427380	984ea3
Game of Thrones	triangle	6	26431024	26431097	984ea3
Game of Thrones	triangle	6	26435795	26435877	984ea3
Game of Thrones	triangle	6	26435795	26435876	984ea3
Game of Thrones	triangle	9	5085018	5085087	984ea3
Game of Thrones	triangle	9	5086339	5086408	984ea3
Game of Thrones	triangle	9	5086409	5086482	984ea3
Game of Thrones	triangle	9	5086587	5086652	984ea3
Game of Thrones	triangle	9	14423937	14424009	984ea3
Game of Thrones	triangle	9	14423937	14424009	984ea3
Game of Thrones	triangle	9	14423937	14424009	984ea3
Game of Thrones	triangle	10	5935679	5935752	984ea3
Game of Thrones	triangle	10	22558443	22558517	984ea3
Game of Thrones	triangle	14	20147334	20147405	984ea3
Game of Thrones	triangle	14	20147334	20147406	984ea3
Game of Thrones	triangle	14	20148130	20148212	984ea3
Game of Thrones	triangle	14	20151399	20151470	984ea3
Game of Thrones	triangle	14	20151399	20151471	984ea3
Game of Thrones	triangle	14	20151788	20151861	984ea3
Game of Thrones	triangle	14	20163368	20163450	984ea3
Game of Thrones	triangle	14	20169158	20169231	984ea3
Game of Thrones	triangle	14	20169158	20169231	984ea3
Game of Thrones	triangle	14	20171004	20171076	984ea3
Game of Thrones	triangle	14	20219688	20219761	984ea3
Game of Thrones	triangle	14	20222014	20222086	984ea3
Game of Thrones	triangle	14	22468749	22468822	984ea3
Game of Thrones	triangle	16	3140675	3140748	984ea3
Game of Thrones	triangle	16	3142901	3142974	984ea3
Game of Thrones	triangle	16	3147406	3147479	984ea3
Game of Thrones	triangle	16	3179635	3179706	984ea3
Game of Thrones	triangle	16	3181501	3181574	984ea3
Game of Thrones	triangle	16	3181989	3182061	984ea3
Game of Thrones	triangle	16	3183918	3183991	984ea3
Game of Thrones	triangle	16	3186153	3186226	984ea3
Game of Thrones	triangle	16	3359813	3359885	984ea3
Game of Thrones	triangle	16	14287250	14287322	984ea3
Game of Thrones	triangle	16	22114532	22114614	984ea3
Game of Thrones	triangle	16	22215961	22216043	984ea3
Game of Thrones	triangle	17	7963197	7963270	984ea3
Game of Thrones	triangle	17	7963794	7963866	984ea3
Game of Thrones	triangle	17	7964356	7964438	984ea3
Game of Thrones	triangle	17	7969788	7969859	984ea3
Game of Thrones	triangle	17	7982923	7983005	984ea3
Game of Thrones	triangle	17	7983494	7983568	984ea3
Game of Thrones	triangle	17	8030400	8030472	984ea3
Game of Thrones	triangle	17	8030908	8030990	984ea3
Game of Thrones	triangle	17	8030909	8030990	984ea3
Game of Thrones	triangle	17	8031202	8031276	984ea3
Game of Thrones	triangle	17	8031635	8031709	984ea3
Game of Thrones	triangle	17	8064911	8064983	984ea3
Game of Thrones	triangle	17	8065590	8065662	984ea3
Game of Thrones	triangle	17	8066280	8066352	984ea3
Game of Thrones	triangle	17	8066281	8066352	984ea3
Game of Thrones	triangle	17	21948111	21948186	984ea3
Game of Thrones	triangle	17	21949144	21949213	984ea3
Game of Thrones	triangle	17	21950533	21950606	984ea3
Game of Thrones	triangle	17	21952305	21952374	984ea3
Game of Thrones	triangle	19	1334360	1334433	984ea3
Game of Thrones	triangle	19	1334360	1334433	984ea3
Game of Thrones	triangle	19	1334561	1334635	984ea3
Game of Thrones	triangle	19	1334561	1334635	984ea3
Game of Thrones	triangle	19	1334569	1334629	984ea3
Game of Thrones	triangle	19	4675081	4675153	984ea3
Game of Thrones	triangle	19	4675646	4675719	984ea3
Game of Thrones	triangle	19	12160375	12160449	984ea3
Game of Thrones	triangle	21	17748977	17749048	984ea3
Game of Thrones	triangle	23	3766417	3766491	984ea3
Game of Thrones	triangle	23	3804841	3804915	984ea3
Game of Thrones	triangle	23	3805255	3805329	984ea3
Game of Thrones	triangle	23	3843270	3843344	984ea3
Game of Thrones	triangle	23	3843684	3843758	984ea3
Westworld	triangle	1	93754421	93754494	33a02c
Westworld	triangle	1	94085716	94085801	33a02c
Westworld	triangle	1	144090676	144090748	33a02c
Westworld	triangle	1	144097085	144097161	33a02c
Westworld	triangle	1	144106878	144106951	33a02c
Westworld	triangle	1	144106879	144106951	33a02c
Westworld	triangle	1	144106879	144106951	33a02c
Westworld	triangle	1	144108237	144108309	33a02c
Westworld	triangle	1	144108237	144108309	33a02c
Westworld	triangle	1	144108237	144108309	33a02c
Westworld	triangle	1	144109220	144109292	33a02c
Westworld	triangle	1	144110589	144110661	33a02c
Westworld	triangle	1	144110589	144110661	33a02c
Westworld	triangle	1	146185652	146185726	33a02c
Westworld	triangle	1	146204005	146204077	33a02c
Westworld	triangle	1	146220094	146220166	33a02c
Westworld	triangle	1	146220094	146220166	33a02c
Westworld	triangle	1	147561289	147561360	33a02c
Westworld	triangle	1	147565178	147565251	33a02c
Westworld	triangle	1	147592895	147592969	33a02c
Westworld	triangle	1	147875232	147875306	33a02c
Westworld	triangle	1	147882240	147882314	33a02c
Westworld	triangle	1	147946833	147946904	33a02c
Westworld	triangle	1	147950711	147950785	33a02c
Westworld	triangle	1	147978421	147978495	33a02c
Westworld	triangle	1	148284005	148284076	33a02c
Westworld	triangle	1	157378024	157378098	33a02c
Westworld	triangle	1	159636113	159636186	33a02c
Westworld	triangle	1	159636113	159636186	33a02c
Westworld	triangle	1	159658506	159658578	33a02c
Westworld	triangle	1	159664490	159664564	33a02c
Westworld	triangle	1	159664490	159664564	33a02c
Westworld	triangle	1	159664496	159664556	33a02c
Westworld	triangle	1	159676584	159676656	33a02c
Westworld	triangle	1	159677238	159677310	33a02c
Westworld	triangle	1	159677239	159677310	33a02c
Westworld	triangle	1	159677946	159678029	33a02c
Westworld	triangle	1	159679717	159679788	33a02c
Westworld	triangle	1	159683641	159683713	33a02c
Westworld	triangle	1	159683641	159683713	33a02c
Westworld	triangle	1	159683998	159684070	33a02c
Westworld	triangle	1	159684656	159684728	33a02c
Westworld	triangle	1	159684657	159684728	33a02c
Westworld	triangle	1	159685364	159685447	33a02c
Westworld	triangle	1	159687090	159687161	33a02c
Westworld	triangle	1	159691021	159691093	33a02c
Westworld	triangle	1	159691021	159691093	33a02c
Westworld	triangle	1	159691379	159691451	33a02c
Westworld	triangle	1	159692037	159692109	33a02c
Westworld	triangle	1	159692038	159692109	33a02c
Westworld	triangle	1	159692745	159692828	33a02c
Westworld	triangle	1	159694521	159694592	33a02c
Westworld	triangle	1	159698432	159698504	33a02c
Westworld	triangle	1	159698432	159698504	33a02c
Westworld	triangle	1	159698789	159698861	33a02c
Westworld	triangle	1	159699447	159699519	33a02c
Westworld	triangle	1	159699448	159699519	33a02c
Westworld	triangle	1	159700155	159700238	33a02c
Westworld	triangle	1	159701881	159701952	33a02c
Westworld	triangle	1	159705812	159705884	33a02c
Westworld	triangle	1	159705812	159705884	33a02c
Westworld	triangle	1	159706170	159706242	33a02c
Westworld	triangle	1	159706828	159706900	33a02c
Westworld	triangle	1	159706829	159706900	33a02c
Westworld	triangle	1	159707536	159707619	33a02c
Westworld	triangle	1	159716979	159717050	33a02c
Westworld	triangle	1	159760260	159760331	33a02c
Westworld	triangle	1	159766755	159766838	33a02c
Westworld	triangle	1	159767526	159767598	33a02c
Westworld	triangle	1	159776654	159776728	33a02c
Westworld	triangle	1	159849131	159849203	33a02c
Westworld	triangle	1	159858088	159858162	33a02c
Westworld	triangle	1	163832773	163832846	33a02c
Westworld	triangle	1	165950585	165950657	33a02c
Westworld	triangle	1	165951348	165951419	33a02c
Westworld	triangle	1	165951348	165951420	33a02c
Westworld	triangle	1	178450898	178450971	33a02c
Westworld	triangle	1	202742277	202742349	33a02c
Westworld	triangle	1	202742277	202742350	33a02c
Westworld	triangle	1	202742780	202742853	33a02c
Westworld	triangle	1	202742781	202742853	33a02c
Westworld	triangle	1	203709893	203709966	33a02c
Westworld	triangle	1	220704969	220705042	33a02c
Westworld	triangle	1	236170996	236171062	33a02c
Westworld	triangle	1	236171159	236171232	33a02c
Westworld	triangle	1	236172484	236172556	33a02c
Westworld	triangle	1	236173578	236173653	33a02c
Westworld	triangle	1	247135069	247135141	33a02c
Westworld	triangle	2	27127585	27127658	33a02c
Westworld	triangle	2	30131071	30131144	33a02c
Westworld	triangle	2	84939386	84939459	33a02c
Westworld	triangle	2	130746380	130746452	33a02c
Westworld	triangle	2	130747698	130747771	33a02c
Westworld	triangle	2	130749493	130749563	33a02c
Westworld	triangle	2	130754266	130754337	33a02c
Westworld	triangle	2	130811170	130811242	33a02c
Westworld	triangle	2	143570727	143570796	33a02c
Westworld	triangle	2	155828696	155828769	33a02c
Westworld	triangle	2	156965526	156965598	33a02c
Westworld	triangle	2	156965904	156965975	33a02c
Westworld	triangle	2	201786055	201786126	33a02c
Westworld	triangle	2	203192878	203192944	33a02c
Westworld	triangle	2	223894558	223894631	33a02c
Westworld	triangle	3	45705494	45705567	33a02c
Westworld	triangle	3	108095679	108095750	33a02c
Westworld	triangle	3	108103567	108103639	33a02c
Westworld	triangle	3	121923854	121923923	33a02c
Westworld	triangle	3	170972711	170972784	33a02c
Westworld	triangle	3	170972711	170972784	33a02c
Westworld	triangle	4	40603499	40603572	33a02c
Westworld	triangle	4	156603337	156603409	33a02c
Westworld	triangle	4	156604427	156604502	33a02c
Westworld	triangle	4	163562056	163562127	33a02c
Westworld	triangle	5	93930927	93930996	33a02c
Westworld	triangle	5	134290048	134290119	33a02c
Westworld	triangle	5	134290178	134290247	33a02c
Westworld	triangle	5	180456675	180456748	33a02c
Westworld	triangle	5	180456675	180456748	33a02c
Westworld	triangle	5	180457079	180457161	33a02c
Westworld	triangle	5	180461445	180461527	33a02c
Westworld	triangle	5	180461858	180461931	33a02c
Westworld	triangle	5	180461858	180461931	33a02c
Westworld	triangle	5	180523759	180523832	33a02c
Westworld	triangle	5	180523759	180523832	33a02c
Westworld	triangle	5	180529215	180529288	33a02c
Westworld	triangle	5	180529215	180529288	33a02c
Westworld	triangle	5	180533255	180533328	33a02c
Westworld	triangle	5	180533255	180533328	33a02c
Westworld	triangle	5	180533649	180533731	33a02c
Westworld	triangle	5	180547306	180547388	33a02c
Westworld	triangle	5	180548021	180548094	33a02c
Westworld	triangle	5	180548459	180548531	33a02c
Westworld	triangle	5	180551292	180551364	33a02c
Westworld	triangle	5	180566473	180566545	33a02c
Westworld	triangle	5	180567360	180567433	33a02c
Westworld	triangle	5	180567360	180567432	33a02c
Westworld	triangle	5	180567360	180567432	33a02c
Westworld	triangle	5	180577875	180577948	33a02c
Westworld	triangle	5	180577875	180577948	33a02c
Westworld	triangle	5	180581584	180581657	33a02c
Westworld	triangle	5	180581585	180581657	33a02c
Westworld	triangle	5	180581585	180581657	33a02c
Westworld	triangle	5	180582000	180582073	33a02c
Westworld	triangle	5	180582000	180582073	33a02c
Westworld	triangle	6	26436346	26436419	33a02c
Westworld	triangle	6	26438507	26438579	33a02c
Westworld	triangle	6	26438507	26438579	33a02c
Westworld	triangle	6	26439650	26439722	33a02c
Westworld	triangle	6	26629414	26629497	33a02c
Westworld	triangle	6	26641123	26641197	33a02c
Westworld	triangle	6	26645704	26645777	33a02c
Westworld	triangle	6	26646260	26646333	33a02c
Westworld	triangle	6	26646260	26646333	33a02c
Westworld	triangle	6	26661709	26661781	33a02c
Westworld	triangle	6	26662328	26662402	33a02c
Westworld	triangle	6	26663476	26663548	33a02c
Westworld	triangle	6	26663477	26663548	33a02c
Westworld	triangle	6	26664752	26664825	33a02c
Westworld	triangle	6	26664752	26664824	33a02c
Westworld	triangle	6	26664752	26664824	33a02c
Westworld	triangle	6	26680070	26680143	33a02c
Westworld	triangle	6	26781568	26781641	33a02c
Westworld	triangle	6	26790693	26790766	33a02c
Westworld	triangle	6	26795463	26795536	33a02c
Westworld	triangle	6	26809690	26809763	33a02c
Westworld	triangle	6	26813584	26813657	33a02c
Westworld	triangle	6	26821876	26821949	33a02c
Westworld	triangle	6	26829199	26829273	33a02c
Westworld	triangle	6	26836234	26836307	33a02c
Westworld	triangle	6	27167499	27167571	33a02c
Westworld	triangle	6	27173063	27173145	33a02c
Westworld	triangle	6	27226000	27226073	33a02c
Westworld	triangle	6	27233884	27233956	33a02c
Westworld	triangle	6	27233884	27233956	33a02c
Westworld	triangle	6	27233884	27233956	33a02c
Westworld	triangle	6	27238028	27238102	33a02c
Westworld	triangle	6	27252972	27253046	33a02c
Westworld	triangle	6	27281845	27281918	33a02c
Westworld	triangle	6	27285606	27285688	33a02c
Westworld	triangle	6	27289601	27289674	33a02c
Westworld	triangle	6	27290930	27291003	33a02c
Westworld	triangle	6	27306312	27306395	33a02c
Westworld	triangle	6	27311266	27311339	33a02c
Westworld	triangle	6	27313328	27313402	33a02c
Westworld	triangle	6	27349717	27349791	33a02c
Westworld	triangle	6	27350968	27351042	33a02c
Westworld	triangle	6	27356027	27356100	33a02c
Westworld	triangle	6	27359842	27359916	33a02c
Westworld	triangle	6	27366383	27366456	33a02c
Westworld	triangle	6	27371190	27371262	33a02c
Westworld	triangle	6	27373753	27373835	33a02c
Westworld	triangle	6	27579501	27579572	33a02c
Westworld	triangle	6	27579501	27579573	33a02c
Westworld	triangle	6	27581585	27581667	33a02c
Westworld	triangle	6	27595286	27595358	33a02c
Westworld	triangle	6	27607965	27608047	33a02c
Westworld	triangle	6	27617532	27617614	33a02c
Westworld	triangle	6	27621446	27621528	33a02c
Westworld	triangle	6	27623509	27623581	33a02c
Westworld	triangle	6	27629170	27629252	33a02c
Westworld	triangle	6	27637941	27638028	33a02c
Westworld	triangle	6	27651824	27651897	33a02c
Westworld	triangle	6	27659214	27659286	33a02c
Westworld	triangle	6	27667571	27667644	33a02c
Westworld	triangle	6	27668578	27668650	33a02c
Westworld	triangle	6	27668578	27668650	33a02c
Westworld	triangle	6	27694113	27694187	33a02c
Westworld	triangle	6	27726685	27726758	33a02c
Westworld	triangle	6	27744340	27744414	33a02c
Westworld	triangle	6	27746322	27746395	33a02c
Westworld	triangle	6	27748207	27748289	33a02c
Westworld	triangle	6	27756863	27756936	33a02c
Westworld	triangle	6	27760452	27760526	33a02c
Westworld	triangle	6	27763945	27764019	33a02c
Westworld	triangle	6	27796876	27796959	33a02c
Westworld	triangle	6	27802451	27802525	33a02c
Westworld	triangle	6	27804305	27804378	33a02c
Westworld	triangle	6	27829157	27829230	33a02c
Westworld	triangle	6	27829157	27829230	33a02c
Westworld	triangle	6	27853642	27853714	33a02c
Westworld	triangle	6	27867113	27867185	33a02c
Westworld	triangle	6	28673095	28673176	33a02c
Westworld	triangle	6	28673095	28673177	33a02c
Westworld	triangle	6	28682911	28682983	33a02c
Westworld	triangle	6	28719200	28719272	33a02c
Westworld	triangle	6	28723962	28724036	33a02c
Westworld	triangle	6	28733992	28734064	33a02c
Westworld	triangle	6	28749591	28749663	33a02c
Westworld	triangle	6	28768965	28769039	33a02c
Westworld	triangle	6	28771687	28771759	33a02c
Westworld	triangle	6	28786344	28786416	33a02c
Westworld	triangle	6	28795459	28795531	33a02c
Westworld	triangle	6	28801773	28801847	33a02c
Westworld	triangle	6	28805070	28805142	33a02c
Westworld	triangle	6	28811184	28811256	33a02c
Westworld	triangle	6	28818707	28818780	33a02c
Westworld	triangle	6	28823499	28823572	33a02c
Westworld	triangle	6	28834119	28834191	33a02c
Westworld	triangle	6	28839352	28839426	33a02c
Westworld	triangle	6	28840142	28840215	33a02c
Westworld	triangle	6	28865525	28865597	33a02c
Westworld	triangle	6	28866477	28866550	33a02c
Westworld	triangle	6	28866477	28866550	33a02c
Westworld	triangle	6	28871719	28871791	33a02c
Westworld	triangle	6	28878555	28878626	33a02c
Westworld	triangle	6	28883588	28883661	33a02c
Westworld	triangle	6	28887827	28887899	33a02c
Westworld	triangle	6	28892990	28893062	33a02c
Westworld	triangle	6	28899071	28899145	33a02c
Westworld	triangle	6	28903168	28903240	33a02c
Westworld	triangle	6	28914199	28914271	33a02c
Westworld	triangle	6	28939440	28939512	33a02c
Westworld	triangle	6	28957143	28957216	33a02c
Westworld	triangle	6	29017356	29017428	33a02c
Westworld	triangle	6	29019377	29019459	33a02c
Westworld	triangle	6	29020330	29020403	33a02c
Westworld	triangle	6	29026784	29026856	33a02c
Westworld	triangle	6	29026784	29026857	33a02c
Westworld	triangle	6	29029020	29029093	33a02c
Westworld	triangle	6	29057427	29057500	33a02c
Westworld	triangle	6	29057427	29057500	33a02c
Westworld	triangle	6	29057954	29058026	33a02c
Westworld	triangle	6	29057954	29058026	33a02c
Westworld	triangle	6	29064757	29064839	33a02c
Westworld	triangle	6	58249835	58249908	33a02c
Westworld	triangle	6	58250547	58250620	33a02c
Westworld	triangle	6	58257212	58257286	33a02c
Westworld	triangle	6	58257212	58257286	33a02c
Westworld	triangle	6	58264408	58264481	33a02c
Westworld	triangle	6	58272586	58272659	33a02c
Westworld	triangle	6	58290637	58290710	33a02c
Westworld	triangle	6	58295402	58295475	33a02c
Westworld	triangle	6	58304581	58304654	33a02c
Westworld	triangle	6	79724728	79724801	33a02c
Westworld	triangle	6	95213699	95213768	33a02c
Westworld	triangle	6	156910737	156910812	33a02c
Westworld	triangle	6	158744635	158744708	33a02c
Westworld	triangle	7	57242424	57242493	33a02c
Westworld	triangle	7	57265851	57265922	33a02c
Westworld	triangle	7	68434300	68434368	33a02c
Westworld	triangle	7	68436564	68436631	33a02c
Westworld	triangle	7	148638213	148638285	33a02c
Westworld	triangle	7	148659152	148659223	33a02c
Westworld	triangle	7	148659152	148659224	33a02c
Westworld	triangle	7	148659153	148659224	33a02c
Westworld	triangle	7	148659159	148659216	33a02c
Westworld	triangle	7	148683698	148683770	33a02c
Westworld	triangle	7	148703782	148703854	33a02c
Westworld	triangle	7	148705533	148705605	33a02c
Westworld	triangle	7	148705534	148705605	33a02c
Westworld	triangle	7	148705541	148705598	33a02c
Westworld	triangle	7	149019204	149019276	33a02c
Westworld	triangle	7	149035692	149035763	33a02c
Westworld	triangle	7	149035692	149035764	33a02c
Westworld	triangle	7	149035693	149035764	33a02c
Westworld	triangle	7	149035699	149035756	33a02c
Westworld	triangle	8	32992187	32992259	33a02c
Westworld	triangle	8	47859202	47859277	33a02c
Westworld	triangle	8	68660186	68660257	33a02c
Westworld	triangle	8	112016132	112016204	33a02c
Westworld	triangle	9	76707809	76707881	33a02c
Westworld	triangle	9	80546233	80546306	33a02c
Westworld	triangle	9	94341300	94341366	33a02c
Westworld	triangle	9	112000623	112000696	33a02c
Westworld	triangle	10	36763548	36763617	33a02c
Westworld	triangle	10	69194266	69194348	33a02c
Westworld	triangle	11	39745076	39745144	33a02c
Westworld	triangle	11	50190454	50190526	33a02c
Westworld	triangle	11	51216475	51216548	33a02c
Westworld	triangle	11	59074677	59074750	33a02c
Westworld	triangle	11	59075035	59075108	33a02c
Westworld	triangle	11	59075342	59075428	33a02c
Westworld	triangle	11	59075803	59075886	33a02c
Westworld	triangle	11	59080477	59080550	33a02c
Westworld	triangle	11	59081545	59081618	33a02c
Westworld	triangle	11	59081545	59081618	33a02c
Westworld	triangle	11	59084383	59084456	33a02c
Westworld	triangle	11	59084384	59084456	33a02c
Westworld	triangle	11	59090428	59090501	33a02c
Westworld	triangle	11	75624204	75624276	33a02c
Westworld	triangle	11	75624205	75624276	33a02c
Westworld	triangle	11	75624516	75624588	33a02c
Westworld	triangle	11	121935864	121935936	33a02c
Westworld	triangle	11	121935864	121935937	33a02c
Westworld	triangle	12	27734572	27734645	33a02c
Westworld	triangle	12	40379391	40379460	33a02c
Westworld	triangle	12	48497392	48497461	33a02c
Westworld	triangle	12	94953929	94954000	33a02c
Westworld	triangle	12	94953929	94954001	33a02c
Westworld	triangle	12	123972253	123972325	33a02c
Westworld	triangle	12	123977843	123977915	33a02c
Westworld	triangle	12	123977844	123977915	33a02c
Westworld	triangle	12	123978341	123978414	33a02c
Westworld	triangle	12	123978341	123978414	33a02c
Westworld	triangle	12	129366104	129366175	33a02c
Westworld	triangle	13	30146100	30146174	33a02c
Westworld	triangle	13	30146100	30146174	33a02c
Westworld	triangle	13	30146106	30146166	33a02c
Westworld	triangle	13	35537680	35537749	33a02c
Westworld	triangle	13	40532873	40532945	33a02c
Westworld	triangle	13	44390061	44390133	33a02c
Westworld	triangle	13	93999904	93999977	33a02c
